score,quantile,threshold,precision,recall,f1,pr_auc,roc_auc,predicted_count
top5_feature_mse,0.5,4.8952367305755615,0.368810051736881,0.7974430683180184,0.504358812381554,0.4666273964727874,0.5948046565349722,5412
max_feature_mse,0.5,15.668947219848633,0.3706570996978852,0.7842588893328006,0.50339787152199,0.4622687030412328,0.5897173493475174,5296
max_timestep_l2,0.5,35.90786361694336,0.3770392749244713,0.7479025169796244,0.5013390465988217,0.5118991749593585,0.6266096381779848,4965
mean_mse,0.5,0.6830321848392487,0.3596602204952105,0.7950459448661606,0.4952712792434047,0.4655880133340478,0.5894341999035887,5533
max_timestep_l2,0.6,42.80051803588867,0.4241719930273097,0.5833000399520575,0.4911690496215307,0.5118991749593585,0.6266096381779848,3442
last_72_mean_l2,0.5,5.571714162826538,0.3562730627306273,0.7714742309228926,0.4874416256468509,0.4551054059251551,0.5663538848948566,5420
mean_l2,0.5,5.8052496910095215,0.3509658783173858,0.7766679984019177,0.483461825416563,0.4419212783582684,0.5654496426167412,5539
last_72_mean_l2,0.6,6.297992706298827,0.3634329875940614,0.713943268078306,0.4816711590296496,0.4551054059251551,0.5663538848948566,4917
top5_feature_mse,0.6,12.200544929504394,0.376271186440678,0.6652017578905314,0.4806581986143187,0.4666273964727874,0.5948046565349722,4425
mean_mse,0.6,1.2596242189407345,0.3743842364532019,0.6679984019176988,0.4798392882766537,0.4655880133340478,0.5894341999035887,4466
